TCGA	Tissue	Group	Pos	Score	IFNA1	IFNA2	IFNGR1	POLR3B	IRF3	IFNGR2	IFNE	TBK1	IFNAR1	IFNB1	TMEM173	POLR3A	IFNG	IFNAR2	IFNK	DDX58
TCGA-BA-6868	hnsc	WT	0	-483.88345	0.3785	0.0	12.2624	7.6012	10.427	10.5518	4.3574	8.6566	10.1582	0.0	10.5535	10.1256	1.3218	8.5885	5.8873	9.2346
TCGA-E2-A1IJ	brca	WT	0	895.19195	0.0	0.0	11.1143	7.9999	9.604	11.3831	1.5493	9.2764	10.9511	0.0	10.5495	8.9053	3.3207	8.8336	0.0	9.7347
TCGA-34-5231	lusc	WT	0	125.09005	0.0	0.0	9.8089	9.7361	10.0938	11.1082	3.3786	9.2884	10.7808	0.5676	9.5593	9.6233	3.1232	9.1318	0.0	9.0605
TCGA-D9-A4Z3	skcm	WT	0	-216.86662	0.0	0.0	9.9857	8.9563	9.8858	10.5722	0.0	8.9475	10.1326	0.0	9.591	9.8988	0.8946	8.082	0.0	7.1531
TCGA-AO-A03N	brca	WT	0	-512.24748	0.0	0.0	11.0074	8.6113	8.9256	11.9708	0.0	9.589	10.7929	0.0	7.42	7.8909	0.0	7.5321	0.0	8.9979
TCGA-BH-A0BS	brca	WT	0	-237.81839	0.0	0.0	11.432	8.6164	9.6346	10.6447	1.6345	9.3309	10.8655	0.0	9.0574	9.2517	0.4338	8.4456	0.0	9.1941
TCGA-44-A47G	luad	WT	0	2129.05031	0.0	0.0	11.7148	7.6151	10.793	11.8464	5.1031	9.1151	11.3195	0.0	11.2179	8.2733	3.7096	10.8749	0.0	8.9819
TCGA-A2-A0YM	brca	WT	0	594.53190	0.3724	0.0	10.7025	7.3794	8.5761	11.6519	0.0	9.2803	11.4044	1.123	9.5808	9.6898	2.514	10.435	0.0	12.0489
TCGA-BH-A0DD	brca	WT	0	-401.47225	0.0	0.0	11.7309	8.2951	9.0612	11.2636	0.0	8.9687	11.4284	0.0	9.7512	9.0129	2.0128	9.1595	0.5197	9.3581
TCGA-49-4506	luad	WT	0	1325.99088	0.0	0.0	12.0557	8.5904	10.9489	10.4065	1.5801	9.3533	10.1788	0.4834	8.4513	8.7681	6.2965	8.2718	0.0	9.5446
TCGA-CK-4947	coad	WT	0	408.88125	0.0	0.0	11.0402	8.3784	9.8136	11.0972	0.0	9.5644	10.8501	0.0	10.0327	9.3671	1.985	8.8935	0.5086	9.1023
TCGA-HT-7857	lgg	WT	0	1791.16175	0.0	0.0	11.7088	7.4356	9.496	11.5176	0.0	9.3978	11.0259	0.0	9.9608	8.8727	1.7778	9.0901	0.0	8.5983
TCGA-BH-A0GZ	brca	WT	0	-449.12218	0.0	0.0	10.6566	7.9671	9.3613	11.1262	0.5649	9.5183	10.7055	0.0	9.1251	8.4626	0.9697	8.2177	0.0	9.5361
TCGA-WB-A81A	pcpg	WT	0	-1241.20827	0.0	0.0	10.0849	7.6086	9.8257	9.2965	0.0	9.8843	10.2391	0.0	7.574	8.6304	0.0	8.087	0.0	8.0698
TCGA-55-1592	luad	WT	0	678.64806	0.0	0.0	11.2308	7.5211	9.8582	11.5596	0.0	10.5792	10.8014	0.6241	10.3567	8.5289	1.2346	8.9397	0.3455	9.9006
TCGA-DE-A0Y2	thca	WT	0	-407.44675	0.4408	0.0	11.1051	7.9541	10.0193	11.3034	2.7482	8.9439	11.3347	0.4408	10.5941	9.1117	0.4408	8.5416	0.0	9.2688
TCGA-OL-A5RX	brca	WT	0	-27.07831	0.0	0.0	11.4589	7.7151	10.4979	11.4617	1.165	9.4817	10.5292	0.0	9.4783	8.5506	1.4095	8.3863	0.4999	9.0595
TCGA-A8-A07B	brca	WT	0	-417.84425	0.0	0.0	10.8157	9.0844	9.59	11.0505	1.4279	9.4214	10.3871	0.0	8.3052	9.5392	0.0	7.2265	0.0	9.6632
TCGA-AN-A0XP	brca	WT	0	-411.02320	0.0	0.0	10.516	8.3405	8.7226	10.8151	0.0	10.0709	11.0316	2.7629	9.3876	9.074	0.0	7.9956	0.0	13.2162
TCGA-CM-6680	coad	WT	0	259.47455	0.0	0.0	10.8567	8.1269	10.3373	11.3184	2.714	8.9117	10.962	0.0	10.9267	9.1279	2.9046	8.5502	0.9463	8.3399
TCGA-D5-6924	coad	WT	0	405.56872	0.0	0.0	10.2707	8.1266	10.3952	10.7764	0.0	9.4985	10.3215	0.0	9.2485	9.7761	3.2629	9.1592	0.0	8.3182
TCGA-EJ-5517	prad	WT	0	-507.47579	0.0	0.0	10.7417	8.9394	8.7909	10.8327	0.0	9.7737	11.3893	0.0	7.6347	9.2406	0.7046	7.5521	0.0	9.092
TCGA-D3-A1Q9	skcm	WT	0	212.96329	0.0	0.0	9.961	8.0404	9.7128	11.5151	0.7303	9.9515	10.9947	0.0	8.0584	9.3364	4.1272	9.0742	0.0	9.9987
